tid;amount;auto_tap;id;in_operation;node_a;node_b;operates_from;operates_until;scenario;tap_pos;type;uuid
12381;1;f;HöS-Trafo_S1;t;12076;12074;;;;0;12200;34b4e35a-f09f-360e-91a5-5ae8aa0abc99
12382;1;f;HöS-Trafo_S2;f;350430;12079;;;;0;12200;702fd75d-2325-3dca-aba4-ede9459963d4
12384;1;f;S2_MS-Trafo;t;12077;12091;;;;0;12088;49d06932-9818-3ce9-b144-cb6d7e3a9d34
12385;1;f;S3_MS-Trafo;t;12079;12099;;;;0;12088;5d243873-df89-3394-9395-57a9745e1390
12386;1;f;S4_MS-Trafo;t;12081;12107;;;;0;12088;74a6f776-4cdf-30e8-b294-b3ce648fbe84
12387;1;t;TRA_MS1_06-NS_NET116;t;12088;12115;;;;10;12183;276e4e5b-0ba4-3188-8e35-992261fdf377
12388;1;t;TRA_MS2_06-NS_NET126_ONS;t;12096;12247;;;;10;12183;69286fb9-d6e8-39f5-9871-d38101492b46
12389;1;t;TRA_MS3_06-NS_NET136;t;12104;12248;;;;10;12183;146697f2-da5e-338f-a6d4-3f60fa04fccb
12390;1;t;TRA_MS4_06-NS_NET146_ONS;t;12112;12380;;;;10;12128;31c66429-565b-38b7-b24a-fff664688436
12383;1;f;S1_MS-Trafo;t;12074;12083;;;;0;12088;2c1836eb-3de0-3bff-8aff-cc65d345af66
